"2 Gobhi Paratha, Curd & Pickle Meal","2 gobhi parathas, curd, sweet, salad and pickle. Amazing for one.",₹134,MUST TRY
"2 Paneer Paratha, Curd & Pickle Meal","2 paneer parathas, curd, sweet, salad and pickle. Amazing for one.",₹144,MUST TRY
Voosh Paratha Platter with Butter Milk,"Enjoy a delicious meal of paneer paratha(1 piece), aloo paratha(1 piece), paneer masala, ... read more",₹219,MUST TRY
Set of Chapatis (4 - Chapatis),"Wheat chapattis - soft, fluffy and cooked to perfection.",₹79,MUST TRY
"2 Gobhi Paratha, Curd & Pickle Meal","2 gobhi parathas, curd, sweet, salad and pickle. Amazing for one.",₹134,
"2 Paneer Paratha, Curd & Pickle Meal","2 paneer parathas, curd, sweet, salad and pickle. Amazing for one.",₹144,
Voosh Paratha Platter with Butter Milk,"Enjoy a delicious meal of paneer paratha(1 piece), aloo paratha(1 piece), paneer masala, ... read more",₹219,
Set of Chapatis (4 - Chapatis),"Wheat chapattis - soft, fluffy and cooked to perfection.",₹79,
Raita,Freshly made with crispy cucumber garnishing.,₹59,
Salad,"Fresh carrot, cucumber, tomato and aromatic coriander garnishing.",₹59,
Butter Milk(300 ml),Refreshing butter milk prepared out of quality curd and Indian spices added to ... read more,₹69,
